Cód. Forn;Fornecedores;Vencimento;Valores Ref.;Material;out/17;;;
;;;;;Recebido;Requisição;Pedido ;Aprovacao
B00922;VivoMovel;25;;GBR036;6;7;;
B00922;VivoG;25;;GBR036;6;;;
B02456;VivoDedicado;15;;GBR036;;;;
B02456;VivoMonitora;15;;GBR036;;;;
B01958;ClaroG;15;;GBR036;;;;
B00324;EmbratelVipphone;24;;GBR036;;;;
B00324;EmbratelInternet;25;;GBR036;;;;
B00665;Nitromidia;15;;GBR137;;;;
B00709;PlanusFixa;14;;GBR139;;;;
B00709;PlanusVariavel;14;;GBR139;;;;
B01520;Konics;7;;GBR145;;;;
B02183;Engineering;9;;GBR090;;;;
B02229;DirectNet;11;;GBR036;;;;
