Cód. Forn;Fornecedores;Vencimento;Valores Ref.;Material;out/17;;
;;;;;Recebido;Requisição;Pago
B00922;Vivo Assinatura Mensal;27;; GBR036 ;;111111; 
B00922;Vivo Movel;25;; GBR036 ;;;
B00922;Vivo 3G;25;; GBR036 ;;;
B02456;Vivo IP Dedicado;15;; GBR036 ;;;
B02456;Vivo Monitora;15;; GBR036 ;;;
B01958;Claro 3G;15;; GBR036 ;;;
B00324;Embratel Vipphone;24;; GBR036 ;;;
B00324;Embratel Link Internet;25;; GBR036 ;;;
;Unify (Siemens);25;; GBR145 ;;;
B00665;Nitromidia;15;; GBR137 ;;;
B00709;Planus Taxa Fixa;14;; GBR139 ;;;
B00709;Planus Taxa Variavel;14;; GBR139 ;;;
B01520;Konics;7;; GBR145 ;;11359411;
B02183;Engineering  (ENGDB);9;; GBR090 ;;;
B02229;DirectNet  (NeoVia);11;; GBR036 ;;;
B02502;Straight;15;; GBR090 ;;;
